Facility/Operator,Location,Year,Quarter,Gamma Radiation,Reported Unit,Comment
Nine Mile Point Site,Lakeview Road,2000,4th,12.4,mrem/quarter,
Indian Point, Factory St. Sub-Station,1998,3rd,,mrem/quarter,sample missing
Indian Point, Broadway & Bleakly,2004,1st,13.8,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2004,2nd,17.7,mrem/quarter,discontinued use of in-house system; more sensitive devices in use from commercial vendor
Indian Point, Broadway & Bleakly,1998,1st,14.9,mrem/quarter,
Ginna Station,Training Center,2011,3rd,17,mrem/quarter,
Ginna Station,Parking Lot,2011,2nd,14,mrem/quarter,change in TLD vendor; midway through quarter
West Valley Site,Thomas Corner Road,2007,3rd,33.1,mrem/quarter,
Indian Point, Factory St. Sub-Station,2013,2nd,31,mrem/quarter,NOTE: due to transition with TLD service first quarter deployment period extend through second quarter and into third quarter.
Background,Capital District,1996,2nd,13.3,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,1998,4th,12.6,mrem/quarter,
West Valley Site,Thomas Corner Road,2001,3rd,13,mrem/quarter,
West Valley Site,Fox Valley Road,2004,4th,26.7,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2006,1st,27.8,mrem/quarter,
West Valley Site,Dutch Hill Road,1997,3rd,15.7,mrem/quarter,
Ginna Station,Training Center,2003,4th,15.8,mrem/quarter,
West Valley Site,Heinz Road,1996,3rd,14.4,mrem/quarter,
West Valley Site,Springville- Erie County,2011,1st,34,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2004,4th,23.5,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,1996,2nd,12.7,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2012,1st,13,mrem/quarter,
Ginna Station,Parking Lot,2001,1st,14.8,mrem/quarter,
Background,Capital District,2006,2nd,19.6,mrem/quarter,
West Valley Site,Dutch Hill Road,2011,1st,33,mrem/quarter,
West Valley Site,Rock Spring Road,2006,3rd,24,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2008,3rd,25.9,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2001,3rd,10.3,mrem/quarter,
West Valley Site,Rock Spring Road,2014,4th,18,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2011,2nd,308,mrem/quarter,Change in TLD vendor; midway through quarter. Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
Indian Point, NYU Tower,2012,3rd,23,mrem/quarter,
West Valley Site,Heinz Road,2002,4th,21.7,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2011,4th,26,mrem/quarter,
Ginna Station,Webster Sub-Station,2009,4th,18,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2008,4th,573.4,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
Background,Capital District,2005,1st,20.8,mrem/quarter,
West Valley Site,Rock Spring Road,2014,3rd,13,mrem/quarter,
Ginna Station,Parking Lot,2000,2nd,11.2,mrem/quarter,
West Valley Site,Rock Spring Road,2001,2nd,15.7,mrem/quarter,
Ginna Station,Training Center,2009,2nd,16,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2005,4th,25.4,mrem/quarter,
Nine Mile Point Site,Lakeview Road,1995,3rd,11.1,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,1997,1st,13.1,mrem/quarter,
West Valley Site,Rock Spring Road,1995,4th,18.8,mrem/quarter,
Background,Capital District,2005,2nd,23.3,mrem/quarter,
Ginna Station,Training Center,2010,1st,21,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2000,4th,11,mrem/quarter,
Indian Point, NYU Tower,2011,4th,26,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2008,4th,18.7,mrem/quarter,
West Valley Site,Dutch Hill Road,2009,3rd,28,mrem/quarter,change in TLD vendor
West Valley Site,Thomas Corner Road,2011,3rd,24,mrem/quarter,
West Valley Site,Rock Spring Road,2004,1st,22.7,mrem/quarter,
West Valley Site,Fox Valley Road,2000,1st,16.9,mrem/quarter,
West Valley Site,Dutch Hill Road,2010,4th,16,mrem/quarter,
West Valley Site,Springville- Erie County,2010,3rd,27,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Maintenance Garage,1995,4th,14.6,mrem/quarter,
West Valley Site,Fox Valley Road,2008,3rd,24.4,mrem/quarter,
Indian Point, Broadway & Bleakly,1996,4th,14.7,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,1995,1st,13,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2003,2nd,13.4,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2003,2nd,13.2,mrem/quarter,
Ginna Station,Webster Sub-Station,2000,2nd,11.2,mrem/quarter,
West Valley Site,Springville- Erie County,2014,2nd,,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,1998,2nd,11.2,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2000,3rd,21.1,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2013,2nd,30,mrem/quarter,NOTE: due to transition with TLD service first quarter deployment period extend through second quarter and into third quarter.
Ginna Station,Training Center,2000,3rd,19.7,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2005,3rd,18.8,mrem/quarter,
Indian Point, NYU Tower,2003,1st,15.4,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,1997,1st,12.5,mrem/quarter,
West Valley Site,Dutch Hill Road,1995,1st,14.6,mrem/quarter,
West Valley Site,Dutch Hill Road,2006,4th,23.3,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2005,2nd,19.1,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,1997,1st,12.6,mrem/quarter,
West Valley Site,Dutch Hill Road,2004,2nd,25,mrem/quarter,discontinued use of in-house system; more sensitive devices in use from commercial vendor
West Valley Site,Thomas Corner Road,1998,3rd,16.1,mrem/quarter,
Ginna Station,Parking Lot,2014,4th,15,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2006,1st,28.8,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2002,2nd,11,mrem/quarter,
Indian Point, Factory St. Sub-Station,2014,1st,15,mrem/quarter,
Indian Point, NYU Tower,2012,2nd,16,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,1997,1st,14,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Maintenance Garage,1996,4th,15.7,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2010,4th,11,mrem/quarter,
West Valley Site,Springville- Erie County,2002,1st,14.4,mrem/quarter,
West Valley Site,Rock Spring Road,2000,4th,,mrem/quarter,Sample missing
Background,Capital District,2008,3rd,21,mrem/quarter,
West Valley Site,Springville- Erie County,2008,1st,25.8,mrem/quarter,
West Valley Site,Rock Spring Road,2010,1st,23,mrem/quarter,
Background,Capital District,2011,4th,25,mrem/quarter,
Background,Capital District,1996,4th,14.3,mrem/quarter,
Background,Capital District,2013,1st,,mrem/quarter,
Background,Capital District,1999,4th,,mrem/quarter,sample missing
Indian Point, Broadway & Bleakly,2010,1st,22,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Laurel Ridge,1996,3rd,16.9,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2001,1st,17,mrem/quarter,
Ginna Station,Training Center,2013,2nd,26,mrem/quarter,NOTE: due to transition with TLD service first quarter deployment period extend through second quarter and into third quarter.
West Valley Site,Thomas Corner Road-Emerson Farm,2001,3rd,11.7,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2006,3rd,19.8,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2007,4th,28,mrem/quarter,
Indian Point, Factory St. Sub-Station,2005,2nd,,mrem/quarter,sample missing
West Valley Site,Thomas Corner Road-Emerson Farm,2010,2nd,27,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,1998,2nd,13.3,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2009,3rd,26,mrem/quarter,change in TLD vendor
Indian Point, NYU Tower,2003,4th,18,mrem/quarter,
West Valley Site,Rock Spring Road,2005,1st,24.8,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2012,2nd,16,mrem/quarter,
Indian Point, Factory St. Sub-Station,2006,4th,23.6,mrem/quarter,
West Valley Site,Rock Spring Road,2004,2nd,29,mrem/quarter,discontinued use of in-house system; more sensitive devices in use from commercial vendor
Nine Mile Point Site,County Route 29 and 1A,2003,4th,14.3,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2014,2nd,358,mrem/quarter,
Ginna Station,Parking Lot,2012,1st,14,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2003,1st,13.2,mrem/quarter,
West Valley Site,Heinz Road,2006,2nd,25.9,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2010,2nd,19,mrem/quarter,
Background,Capital District,2001,2nd,12.7,mrem/quarter,
West Valley Site,Heinz Road,1999,4th,16.6,mrem/quarter,
West Valley Site,Springville- Erie County,2008,4th,25.8,mrem/quarter,
Ginna Station,Training Center,2004,4th,27.3,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2008,4th,24.2,mrem/quarter,
Indian Point, Factory St. Sub-Station,2004,3rd,20,mrem/quarter,
Ginna Station,Training Center,1995,2nd,12,mrem/quarter,
West Valley Site,Thomas Corner Road,2002,1st,14.4,mrem/quarter,
Indian Point, Broadway & Bleakly,1995,1st,14.7,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2007,1st,24.4,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,1997,4th,13.6,mrem/quarter,
Indian Point, NYU Tower,1999,2nd,12.4,mrem/quarter,
West Valley Site,Springville- Erie County,2012,2nd,,mrem/quarter,Sample missing
West Valley Site,Fence Line at Waste Area,2007,4th,763.8,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Fence Line at Waste Area,2012,1st,522,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Fence Line at Waste Area,1998,3rd,434.3,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Route 240 Zefer's Farm,2002,2nd,11.7,mrem/quarter,
Ginna Station,Parking Lot,2002,1st,12.8,mrem/quarter,
West Valley Site,Thomas Corner Road,2008,3rd,24.6,mrem/quarter,
West Valley Site,Springville- Erie County,2008,3rd,26.8,mrem/quarter,
West Valley Site,Springville- Erie County,1998,3rd,14.9,mrem/quarter,
"Shoreham, Suffolk County",Danby Reservoir,1995,1st,14.6,mrem/quarter,
Ginna Station,Webster Sub-Station,2002,1st,12.2,mrem/quarter,
Background,Capital District,1997,2nd,14.9,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2000,1st,14.7,mrem/quarter,
Ginna Station,Training Center,2006,1st,25.4,mrem/quarter,
West Valley Site,Fence Line at Waste Area,1999,1st,454.9,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
Nine Mile Point Site,Lakeview Road,2009,3rd,22,mrem/quarter,change in TLD vendor
Nine Mile Point Site,Site Meteorological Tower,1998,2nd,10.9,mrem/quarter,
West Valley Site,Rock Spring Road,2012,3rd,20,mrem/quarter,
Ginna Station,Webster Sub-Station,2004,2nd,23.5,mrem/quarter,discontinued use of in-house system; more sensitive devices in use from commercial vendor
Nine Mile Point Site,County Route 29 and 1A,2000,4th,11.1,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,1998,1st,14.1,mrem/quarter,
Ginna Station,Parking Lot,2003,1st,11.9,mrem/quarter,
Ginna Station,Webster Sub-Station,2011,4th,24,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2006,2nd,618.9,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
Indian Point, NYU Tower,2005,1st,24.6,mrem/quarter,
Ginna Station,Parking Lot,2009,2nd,13.7,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2001,4th,476.7,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
Ginna Station,Training Center,2008,2nd,20.7,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,1997,4th,13.1,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2000,2nd,10.9,mrem/quarter,
Ginna Station,Parking Lot,2004,2nd,24.4,mrem/quarter,discontinued use of in-house system; more sensitive devices in use from commercial vendor
West Valley Site,Thomas Corner Road,2004,4th,26,mrem/quarter,
West Valley Site,Fence Line at Waste Area,1995,3rd,434.7,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Rock Spring Road,2011,3rd,23,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,1999,2nd,12.1,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Laurel Ridge,1996,4th,20.1,mrem/quarter,
Background,Capital District,2010,2nd,25,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2011,1st,33,mrem/quarter,
West Valley Site,Springville- Erie County,2011,4th,,mrem/quarter,Sample missing
Ginna Station,Parking Lot,1996,1st,,mrem/quarter,Sample missing
Nine Mile Point Site,County Route 29 and 1A,2014,3rd,,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Air Sampler North of Plant,1997,4th,14.8,mrem/quarter,monitoring discontinued at end of 1997
West Valley Site,Springville- Erie County,2004,3rd,27,mrem/quarter,
West Valley Site,Fox Valley Road,2007,4th,30.6,mrem/quarter,
Ginna Station,Webster Sub-Station,2014,4th,15,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,1996,1st,11.7,mrem/quarter,
Ginna Station,Training Center,2011,1st,36,mrem/quarter,
Ginna Station,Training Center,1999,3rd,20.9,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2008,1st,23.9,mrem/quarter,
West Valley Site,Rock Spring Road,2009,4th,21,mrem/quarter,
West Valley Site,Fox Valley Road,2006,2nd,25.1,mrem/quarter,
West Valley Site,Heinz Road,1997,4th,14.2,mrem/quarter,
West Valley Site,Fence Line at Waste Area,1999,2nd,370.4,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
Nine Mile Point Site,Site Meteorological Tower,2009,3rd,22,mrem/quarter,change in TLD vendor
Ginna Station,Webster Sub-Station,2007,2nd,18.2,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2003,1st,11.7,mrem/quarter,
West Valley Site,Springville- Erie County,1995,3rd,12.4,mrem/quarter,
West Valley Site,Springville- Erie County,2003,4th,18,mrem/quarter,
Ginna Station,Training Center,2002,2nd,13.5,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2012,1st,15,mrem/quarter,
West Valley Site,Thomas Corner Road,1995,4th,15.1,mrem/quarter,
West Valley Site,Thomas Corner Road,2002,4th,15.8,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,1997,4th,11.9,mrem/quarter,
Background,Capital District,2007,4th,29.8,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2004,2nd,22.2,mrem/quarter,discontinued use of in-house system; more sensitive devices in use from commercial vendor
Indian Point, Factory St. Sub-Station,2007,3rd,24.6,mrem/quarter,
West Valley Site,Thomas Corner Road,2000,2nd,16.1,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,1995,3rd,11.8,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2007,3rd,20.9,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2008,2nd,19.7,mrem/quarter,
Indian Point, Broadway & Bleakly,2008,1st,17.6,mrem/quarter,
Indian Point, Factory St. Sub-Station,2001,1st,,mrem/quarter,sample missing
Ginna Station,Training Center,2014,3rd,,mrem/quarter,
Indian Point, Factory St. Sub-Station,2008,3rd,20.6,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2014,4th,17,mrem/quarter,
West Valley Site,Springville- Erie County,2004,2nd,25.5,mrem/quarter,discontinued use of in-house system; more sensitive devices in use from commercial vendor
"Cintichem, Tuxedo, Orange County",Air Sampler North of Plant,1995,4th,13.8,mrem/quarter,
Ginna Station,Webster Sub-Station,1995,4th,12.3,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2006,3rd,24.7,mrem/quarter,
Indian Point, Broadway & Bleakly,2006,3rd,20.7,mrem/quarter,
Background,Capital District,2002,3rd,14,mrem/quarter,
West Valley Site,Heinz Road,2008,4th,23.9,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2001,4th,20.7,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2009,1st,20.1,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2008,1st,24.8,mrem/quarter,
Ginna Station,Parking Lot,2005,2nd,23.4,mrem/quarter,
Indian Point, Broadway & Bleakly,2015,3rd,21,mrem/quarter,
Background,Capital District,2011,3rd,24,mrem/quarter,
Indian Point, Factory St. Sub-Station,2003,1st,12.3,mrem/quarter,
West Valley Site,Thomas Corner Road,2004,3rd,25.6,mrem/quarter,
Ginna Station,Training Center,1997,1st,13.8,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2003,3rd,13.3,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2008,3rd,17.5,mrem/quarter,
"Cintichem, Tuxedo, Orange County",Laurel Ridge,1996,2nd,16.7,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2004,1st,16.1,mrem/quarter,
West Valley Site,Fox Valley Road,2010,1st,23,mrem/quarter,
Ginna Station,Parking Lot,2010,3rd,17,mrem/quarter,
West Valley Site,Springville- Erie County,1999,1st,15.7,mrem/quarter,
West Valley Site,Springville- Erie County,2005,2nd,,mrem/quarter,Sample missing
West Valley Site,Fox Valley Road,2008,2nd,25.8,mrem/quarter,
West Valley Site,Heinz Road,2009,1st,24.1,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2000,1st,16,mrem/quarter,
West Valley Site,Dutch Hill Road,1997,4th,15.7,mrem/quarter,
Ginna Station,Training Center,2007,4th,27.4,mrem/quarter,
West Valley Site,Springville- Erie County,2013,3rd,,mrem/quarter,TLD not deployed for the period
Ginna Station,Parking Lot,2010,4th,20,mrem/quarter,
Indian Point, Factory St. Sub-Station,2002,3rd,12.3,mrem/quarter,
Indian Point, Factory St. Sub-Station,2000,1st,,mrem/quarter,sample missing
West Valley Site,Dutch Hill Road,2005,4th,23.6,mrem/quarter,
Indian Point, NYU Tower,2002,1st,,mrem/quarter,sample missing
West Valley Site,Fox Valley Road,2011,1st,33,mrem/quarter,
West Valley Site,Dutch Hill Road,2007,1st,21.9,mrem/quarter,
West Valley Site,Dutch Hill Road,2003,2nd,15.3,mrem/quarter,
Background,Capital District,1999,2nd,15.5,mrem/quarter,
Indian Point, NYU Tower,2008,1st,19.9,mrem/quarter,
Ginna Station,Training Center,2005,4th,23,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2012,4th,24,mrem/quarter,
Indian Point, NYU Tower,2004,3rd,20,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,2003,1st,15.2,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2007,4th,29.6,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2010,3rd,31,mrem/quarter,
West Valley Site,Dutch Hill Road,2008,1st,23.8,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2014,4th,411,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2003,4th,13.3,mrem/quarter,
West Valley Site,Dutch Hill Road,2009,2nd,26.5,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2000,3rd,590.3,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Fence Line at Waste Area,2010,1st,932,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
"Shoreham, Suffolk County",End of Sound Road,1995,2nd,9.7,mrem/quarter,
Ginna Station,Webster Sub-Station,1996,1st,13.9,mrem/quarter,
West Valley Site,Fox Valley Road,1997,4th,15.8,mrem/quarter,
West Valley Site,Fox Valley Road,2003,4th,15.2,mrem/quarter,
West Valley Site,Fox Valley Road,2009,1st,23.1,mrem/quarter,
West Valley Site,Heinz Road,2009,3rd,26,mrem/quarter,change in TLD vendor
Nine Mile Point Site,County Route 29 & Miner Road,2014,1st,13,mrem/quarter,
Ginna Station,Parking Lot,2007,4th,26.7,mrem/quarter,
West Valley Site,Dutch Hill Road,1999,3rd,18.2,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2012,3rd,,mrem/quarter,Sampling discontinued after 2nd quarter 2012
Ginna Station,Training Center,2006,3rd,21.3,mrem/quarter,
West Valley Site,Dutch Hill Road,1996,1st,15.5,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2003,2nd,332.8,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
Nine Mile Point Site,Lakeview Road,1998,4th,14.5,mrem/quarter,
West Valley Site,Dutch Hill Road,2000,1st,17.4,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2004,3rd,23.7,mrem/quarter,
West Valley Site,Rock Spring Road,2002,1st,16.8,mrem/quarter,
West Valley Site,Thomas Corner Road,2012,3rd,,mrem/quarter,Sampling discontinued after 2nd quarter 2012
West Valley Site,Fence Line at Waste Area,2005,3rd,670.8,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
West Valley Site,Fence Line at Waste Area,2013,1st,,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2013,3rd,7,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2013,2nd,33,mrem/quarter,NOTE: due to transition with TLD service first quarter deployment period extend through second quarter and into third quarter.
West Valley Site,Springville- Erie County,2013,1st,,mrem/quarter,
Nine Mile Point Site,Lakeview Road,1996,3rd,12.5,mrem/quarter,
West Valley Site,Springville- Erie County,2010,1st,25,mrem/quarter,
Ginna Station,Parking Lot,2001,4th,16,mrem/quarter,
West Valley Site,Dutch Hill Road,1998,2nd,14.7,mrem/quarter,
Ginna Station,Training Center,2002,4th,16.2,mrem/quarter,
West Valley Site,Dutch Hill Road,1999,4th,18.2,mrem/quarter,
West Valley Site,Springville- Erie County,2005,4th,26.1,mrem/quarter,
Nine Mile Point Site,Site Meteorological Tower,2001,3rd,9.6,mrem/quarter,
Ginna Station,Training Center,2006,2nd,26,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,1996,2nd,10.4,mrem/quarter,
Ginna Station,Training Center,1997,2nd,13.5,mrem/quarter,
West Valley Site,Fox Valley Road,2004,3rd,25.3,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2006,3rd,27.5,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2013,1st,,mrem/quarter,
West Valley Site,Dutch Hill Road,2004,3rd,26.1,mrem/quarter,
West Valley Site,Rock Spring Road,2008,4th,,mrem/quarter,Sample missing
Indian Point, Broadway & Bleakly,2005,3rd,22,mrem/quarter,
West Valley Site,Springville- Erie County,2002,3rd,13.1,mrem/quarter,
West Valley Site,Heinz Road,1995,3rd,11.8,mrem/quarter,
West Valley Site,Thomas Corner Road-Emerson Farm,1998,3rd,13.4,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2001,3rd,11.7,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2003,1st,13.5,mrem/quarter,
West Valley Site,Rock Spring Road,2011,1st,32,mrem/quarter,
West Valley Site,Heinz Road,2012,1st,15,mrem/quarter,
West Valley Site,Springville- Erie County,2009,2nd,28.9,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2008,3rd,18.9,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2008,1st,13.8,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2001,4th,14.5,mrem/quarter,
Indian Point, Broadway & Bleakly,2009,4th,20,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,2008,1st,25.6,mrem/quarter,
West Valley Site,Dutch Hill Road,2004,4th,25.3,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2012,3rd,377,mrem/quarter,Elevated radiation levels are expected at this monitoring location due to its proximity to a High Level Radioactive Waste Storage Facility.  This is an on-site location. Access to this location is controlled by the site operator.
Ginna Station,Training Center,2001,1st,15.2,mrem/quarter,
West Valley Site,Heinz Road,1997,1st,14.6,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2009,1st,22.6,mrem/quarter,
Ginna Station,Parking Lot,2014,2nd,,mrem/quarter,
Indian Point, Factory St. Sub-Station,2009,3rd,26,mrem/quarter,change in TLD vendor
West Valley Site,Fence Line at Waste Area,2013,2nd,565,mrem/quarter,NOTE: due to transition with TLD service first quarter deployment period extend through second quarter and into third quarter.
West Valley Site,Thomas Corner Road,1999,4th,18.5,mrem/quarter,
West Valley Site,Dutch Hill & Schrartz Road,1995,2nd,12.5,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2005,1st,15,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2010,1st,16,mrem/quarter,
West Valley Site,Springville- Erie County,2001,2nd,12.1,mrem/quarter,
West Valley Site,Route 240 Zefer's Farm,2001,2nd,11.7,mrem/quarter,
Indian Point, Factory St. Sub-Station,2001,2nd,11.7,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2015,2nd,,mrem/quarter,
Ginna Station,Webster Sub-Station,2015,3rd,,mrem/quarter,
West Valley Site,Heinz Road,2000,3rd,20,mrem/quarter,
West Valley Site,Heinz Road,1997,3rd,,mrem/quarter,Sample missing
West Valley Site,Thomas Corner Road,1998,2nd,14.6,mrem/quarter,
Nine Mile Point Site,County Route 29 and 1A,2015,3rd,,mrem/quarter,
Ginna Station,Webster Sub-Station,2006,2nd,24,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2015,1st,,mrem/quarter,
Ginna Station,Parking Lot,2015,2nd,,mrem/quarter,
West Valley Site,Springville- Erie County,2015,2nd,,mrem/quarter,
Nine Mile Point Site,County Route 29 & Miner Road,2015,2nd,,mrem/quarter,
Ginna Station,Parking Lot,2015,3rd,,mrem/quarter,
Nine Mile Point Site,Lakeview Road,2015,2nd,,mrem/quarter,
West Valley Site,Fence Line at Waste Area,2015,3rd,509,mrem/quarter,
Indian Point, Broadway & Bleakly,2012,3rd,23,mrem/quarter,
Ginna Station,Webster Sub-Station,2015,4th,,mrem/quarter,
Ginna Station,Parking Lot,2015,1st,,mrem/quarter,
Ginna Station,Webster Sub-Station,2015,1st,,mrem/quarter,
